passengers,luggage,occasion,vehicle
3,4,airport,Executive SUV
3,0,wedding,Sedan
4,2,party,Executive SUV
4,0,cruise,Executive SUV
6,2,other,Executive SUV
3,0,business,Executive SUV
1,0,cruise,Sedan
3,4,cruise,Executive SUV
1,2,airport,Sedan
5,2,airport,Executive SUV
2,1,other,Sedan
4,1,business,Executive SUV
5,2,airport,Executive SUV
1,1,cruise,Sedan
3,0,wedding,Sedan
4,5,other,Executive SUV
4,2,business,Executive SUV
2,2,cruise,Sedan
1,0,cruise,Sedan
10,1,other,Sprinter VAN
8,8,airport,Sprinter VAN
5,3,wedding,Executive SUV
5,4,airport,Executive SUV
2,1,other,Sedan
2,1,other,Sedan
4,5,party,Executive SUV
3,4,other,Executive SUV
1,3,airport,Sedan
8,8,party,Sprinter VAN
3,4,party,Executive SUV
5,6,party,Executive SUV
1,3,wedding,Sedan
5,6,cruise,Executive SUV
8,1,business,Sprinter VAN
5,0,business,Executive SUV
1,0,wedding,Executive SUV
2,1,party,Sedan
1,2,wedding,Executive SUV
3,0,wedding,Premium SUV
1,0,business,Sedan
5,2,cruise,Executive SUV
6,6,cruise,Executive SUV
2,2,wedding,Sedan
3,0,business,Executive SUV
8,0,business,Sprinter VAN
1,1,other,Sedan
1,0,other,Sedan
2,2,cruise,Sedan
2,0,airport,Sedan
3,3,business,Executive SUV
4,6,other,Executive SUV
6,1,cruise,Executive SUV
2,1,airport,Sedan
3,0,cruise,Sedan
14,7,airport,Transit VAN
5,3,cruise,Executive SUV
8,8,party,Sprinter VAN
2,2,cruise,Sedan
2,2,wedding,Sedan
2,2,business,Executive SUV
2,1,airport,Sedan
2,4,party,Executive SUV
3,0,wedding,Sedan
5,2,wedding,Premium SUV
6,5,airport,Executive SUV
4,5,cruise,Executive SUV
1,1,business,Sedan
4,1,business,Executive SUV
2,3,business,Executive SUV
1,1,party,Sedan
2,0,wedding,Premium SUV
8,0,wedding,Sprinter VAN
5,6,airport,Executive SUV
1,3,cruise,Sedan
1,1,cruise,Sedan
5,2,airport,Executive SUV
5,1,airport,Executive SUV
6,3,wedding,Executive SUV
5,0,other,Executive SUV
3,2,wedding,Sedan
5,2,business,Executive SUV
8,10,cruise,Sprinter VAN
1,0,cruise,Sedan
12,0,party,Transit VAN
1,2,business,Sedan
3,3,other,Sedan
2,3,party,Sedan
3,5,other,Executive SUV
2,1,party,Sedan
2,4,party,Executive SUV
6,4,wedding,Executive SUV
1,3,airport,Sedan
2,4,other,Executive SUV
3,4,cruise,Executive SUV
4,5,wedding,Premium SUV
1,3,business,Executive SUV
1,0,business,Sedan
2,4,airport,Executive SUV
2,2,party,Sedan
1,1,party,Sedan
8,6,cruise,Sprinter VAN
1,0,wedding,Sedan
4,1,airport,Executive SUV
3,4,other,Executive SUV
4,4,other,Executive SUV
10,7,business,Sprinter VAN
3,3,other,Sedan
5,6,party,Executive SUV
3,4,cruise,Executive SUV
14,12,business,Transit VAN
2,1,cruise,Sedan
8,5,other,Sprinter VAN
2,4,wedding,Executive SUV
2,4,other,Executive SUV
1,2,cruise,Sedan
1,0,cruise,Sedan
4,5,wedding,Premium SUV
12,8,airport,Transit VAN
1,3,other,Sedan
5,6,other,Executive SUV
2,2,party,Sedan
2,1,cruise,Sedan
2,1,wedding,Sedan
1,1,airport,Sedan
5,0,wedding,Executive SUV
2,4,airport,Executive SUV
2,2,wedding,Executive SUV
12,7,business,Transit VAN
4,4,other,Executive SUV
5,1,party,Executive SUV
5,4,business,Executive SUV
3,2,party,Sedan
5,5,cruise,Executive SUV
2,1,party,Sedan
3,3,party,Sedan
2,2,cruise,Sedan
2,1,party,Sedan
3,0,party,Sedan
14,0,other,Transit VAN
2,3,business,Sedan
1,3,business,Sedan
1,2,business,Sedan
3,2,airport,Sedan
12,3,cruise,Transit VAN
4,0,wedding,Executive SUV
14,6,cruise,Transit VAN
1,2,other,Sedan
2,2,cruise,Sedan
2,0,cruise,Sedan
12,13,party,Transit VAN
2,3,business,Sedan
4,6,business,Executive SUV
1,3,business,Sedan
3,0,cruise,Sedan
4,0,airport,Executive SUV
3,0,business,Sedan
6,0,other,Executive SUV
6,8,wedding,Premium SUV
2,3,cruise,Sedan
2,2,other,Sedan
1,1,business,Executive SUV
1,1,business,Sedan
4,5,airport,Executive SUV
1,0,cruise,Sedan
4,1,other,Executive SUV
2,0,party,Sedan
4,1,airport,Executive SUV
2,2,business,Executive SUV
5,4,other,Executive SUV
2,3,other,Sedan
4,0,airport,Executive SUV
2,3,wedding,Executive SUV
1,2,wedding,Sedan
2,0,airport,Sedan
1,1,business,Sedan
3,2,wedding,Sedan
4,0,other,Executive SUV
2,0,airport,Sedan
1,1,cruise,Sedan
3,1,cruise,Sedan
2,1,cruise,Sedan
3,3,airport,Sedan
1,3,other,Sedan
2,1,business,Executive SUV
6,4,airport,Executive SUV
2,1,party,Sedan
14,14,wedding,Transit VAN
12,5,cruise,Transit VAN
1,0,business,Sedan
1,3,airport,Sedan
3,4,airport,Executive SUV
6,8,airport,Premium SUV
6,4,other,Executive SUV
2,3,business,Sedan
6,7,other,Premium SUV
2,1,business,Executive SUV
2,0,business,Executive SUV
6,3,other,Executive SUV
3,3,other,Sedan
3,2,airport,Sedan
3,1,party,Sedan
4,1,wedding,Executive SUV
2,4,cruise,Executive SUV
2,4,business,Executive SUV
4,2,other,Executive SUV
1,3,wedding,Sedan
2,0,other,Sedan
5,5,business,Executive SUV
1,2,wedding,Executive SUV
2,0,wedding,Premium SUV
2,0,cruise,Sedan
2,0,wedding,Sedan
10,3,business,Sprinter VAN
1,1,other,Sedan
8,1,other,Sprinter VAN
4,1,business,Executive SUV
10,9,wedding,Sprinter VAN
10,1,other,Sprinter VAN
4,3,airport,Executive SUV
4,1,business,Executive SUV
2,2,party,Sedan
4,0,business,Executive SUV
12,8,other,Transit VAN
3,3,party,Sedan
1,2,cruise,Sedan
3,1,airport,Sedan
4,5,wedding,Executive SUV
1,0,airport,Sedan
8,3,cruise,Sprinter VAN
8,1,other,Sprinter VAN
1,0,party,Sedan
2,4,business,Executive SUV
1,1,airport,Sedan
2,0,cruise,Sedan
4,2,other,Executive SUV
3,2,other,Sedan
2,0,cruise,Sedan
1,1,airport,Sedan
6,8,business,Premium SUV
4,0,wedding,Executive SUV
1,1,wedding,Executive SUV
2,0,cruise,Sedan
2,2,party,Sedan
2,4,cruise,Executive SUV
14,3,cruise,Transit VAN
3,2,other,Sedan
6,0,airport,Executive SUV
1,1,airport,Sedan
5,4,business,Executive SUV
2,0,party,Sedan
2,2,business,Sedan
2,0,other,Sedan
2,3,other,Sedan
3,5,business,Executive SUV
6,5,wedding,Premium SUV
5,2,business,Executive SUV
4,2,cruise,Executive SUV
5,7,airport,Premium SUV
3,5,other,Executive SUV
1,3,cruise,Sedan
12,7,wedding,Transit VAN
2,2,wedding,Sedan
6,3,wedding,Executive SUV
2,2,airport,Sedan
2,0,party,Sedan
14,14,cruise,Transit VAN
1,2,business,Sedan
10,1,other,Sprinter VAN
5,0,cruise,Executive SUV
1,2,business,Executive SUV
12,8,cruise,Transit VAN
1,3,cruise,Sedan
3,4,business,Executive SUV
6,2,party,Executive SUV
3,2,party,Sedan
2,3,party,Sedan
5,4,wedding,Executive SUV
12,2,other,Transit VAN
3,3,other,Sedan
2,2,business,Executive SUV
6,3,cruise,Executive SUV
3,1,cruise,Sedan
3,0,other,Sedan
1,3,airport,Sedan
6,1,other,Executive SUV
1,0,business,Executive SUV
2,1,wedding,Premium SUV
5,0,business,Executive SUV
10,12,cruise,Sprinter VAN
1,2,airport,Sedan
2,1,wedding,Executive SUV
1,1,cruise,Sedan
5,7,business,Premium SUV
