text,intent
Hi,greeting
Hello,greeting
Hey,greeting
Good morning,greeting
Good afternoon,greeting
Good evening,greeting
Hi there,greeting
Hello there,greeting
Hey there,greeting
Hiya,greeting
Greetings,greeting
Hello good day,greeting
hi,greeting
hey whats up,greeting
yo,greeting
Morning,greeting
Good day,greeting
Hi I need some help,greeting
Hello I have a question,greeting
Hey can you help me,greeting
Good morning I need assistance,greeting
Hi is anyone there,greeting
Hello SmartLimo,greeting
Hi quick question,greeting
Hey I just landed,greeting
Hello I'm new here,greeting
Hi hope you can help,greeting
hello i need help,greeting
Hello is this the limo service,greeting
Hi I just arrived in Orlando,greeting
Hey good evening,greeting
Hello anyone available,greeting
Hi good morning team,greeting
I need a limousine tomorrow,book_ride
I want to book a limo,book_ride
Can I reserve a car to the airport,book_ride
I'd like to book a ride for 4 people,book_ride
Book me a limousine from MCO to Disney,book_ride
I need a ride from Orlando International Airport,book_ride
Can you pick me up tomorrow at 2 PM,book_ride
I want to reserve a limousine for Saturday,book_ride
I need transportation to Disney World,book_ride
Book a car for me please,book_ride
I'd like to schedule a pickup,book_ride
We need a limo for a wedding next week,book_ride
Can I book a ride to Port Canaveral,book_ride
I'm arriving at MCO tomorrow and need a ride to my hotel,book_ride
I want a limousine for tonight,book_ride
Need a car asap,book_ride
i need a limo tomorow,book_ride
Can you arrange a pickup from Sanford airport,book_ride
I would like to make a reservation,book_ride
Reserve a limousine for 6 passengers please,book_ride
We are landing at 3 PM and need transportation,book_ride
I need a ride to Universal Studios for my family,book_ride
Hi I'd like to book a limousine tomorrow at 2 PM from the airport to Disney World for 4 passengers,book_ride
Can I get a car from my hotel to the cruise terminal,book_ride
I want to hire a limo for prom night,book_ride
I need an airport transfer,book_ride
Book a transfer from the airport to my hotel,book_ride
I need a pickup at the cruise port,book_ride
Can I book a car by the hour,book_ride
I'd like an hourly booking for 3 hours,book_ride
I need a point to point ride across town,book_ride
We need a ride from the hotel to the airport on Friday,book_ride
Pick us up from Port Canaveral after our cruise,book_ride
I want to book a round trip to the convention center,book_ride
Can I have a limo,book_ride
Can I have a limousine please,book_ride
Can I get a limo,book_ride
Can I get a ride to the airport,book_ride
I would like to have a car,book_ride
Can I order a limo,book_ride
I want to order a ride,book_ride
Get me a limo please,book_ride
Cancel my reservation,cancel_booking
I want to cancel my booking,cancel_booking
Please cancel my ride,cancel_booking
I no longer need the limousine,cancel_booking
Can I cancel my trip,cancel_booking
I need to cancel my reservation for tomorrow,cancel_booking
Cancel the limo I booked,cancel_booking
My plans changed I want to cancel,cancel_booking
I have to cancel my pickup,cancel_booking
Please remove my booking,cancel_booking
I won't need the ride anymore,cancel_booking
Cancel everything please,cancel_booking
My flight was cancelled so I don't need the limo,cancel_booking
i want to cancel,cancel_booking
How do I cancel my reservation,cancel_booking
Is it possible to cancel my booking,cancel_booking
I'd like to call off my ride,cancel_booking
Cancel my limousine for Saturday,cancel_booking
We decided not to go please cancel,cancel_booking
Delete my reservation,cancel_booking
I need to cancel the car I reserved,cancel_booking
Can you cancel my trip to Disney,cancel_booking
Sorry I must cancel my ride,cancel_booking
cancel my booking pls,cancel_booking
What is your cancellation policy,cancel_booking
Will I be charged if I cancel,cancel_booking
I want to cancel my airport transfer,cancel_booking
Cancel the hourly booking I made,cancel_booking
Our event was called off cancel the limo,cancel_booking
Cancel my ride for tonight please,cancel_booking
I booked twice by mistake cancel one,cancel_booking
Please cancel reservation number 123,cancel_booking
Scrap my booking,cancel_booking
Change my pickup time,modify_booking
I want to modify my reservation,modify_booking
Can I change the destination,modify_booking
Update my booking please,modify_booking
I need to reschedule my ride,modify_booking
Can I change my pickup location,modify_booking
I want to change the date of my reservation,modify_booking
Move my pickup to 5 PM instead,modify_booking
Can we add one more passenger to my booking,modify_booking
I need to change my reservation to Sunday,modify_booking
Is it possible to modify my ride,modify_booking
I want to switch to a bigger vehicle,modify_booking
Change my booking from 2 PM to 4 PM,modify_booking
Can I update the number of passengers,modify_booking
I need to add luggage to my reservation,modify_booking
My flight changed can I update my pickup time,modify_booking
Edit my reservation please,modify_booking
i want to change my booking,modify_booking
Can you reschedule my limo for next week,modify_booking
I'd like to change the drop-off address,modify_booking
Please update my ride details,modify_booking
We need to change our pickup point,modify_booking
Can I modify the vehicle type,modify_booking
Change the time of my reservation,modify_booking
I made a mistake in my booking can I fix it,modify_booking
Can I add a stop to my ride,modify_booking
Add a child seat to my reservation,modify_booking
I need to make my booking wheelchair accessible,modify_booking
Push my pickup back one hour,modify_booking
Can we leave earlier than planned,modify_booking
Update my flight number on the booking,modify_booking
Switch my reservation to the Sprinter,modify_booking
Change my ride to a round trip,modify_booking
Where is my driver,driver_tracking
Is my driver on the way,driver_tracking
How far is my driver,driver_tracking
When will the driver arrive,driver_tracking
Track my ride,driver_tracking
Where is my limousine,driver_tracking
Is the car close,driver_tracking
My driver is late where is he,driver_tracking
Can I see my driver's location,driver_tracking
How long until my driver arrives,driver_tracking
What's the ETA of my driver,driver_tracking
Is my ride here yet,driver_tracking
Where's the car I booked,driver_tracking
Can you track my limo,driver_tracking
wheres my driver,driver_tracking
The driver hasn't arrived yet,driver_tracking
Is my chauffeur nearby,driver_tracking
How many minutes until pickup,driver_tracking
I'm waiting outside where is my ride,driver_tracking
Show me where my driver is,driver_tracking
Did my driver leave already,driver_tracking
